Recording	Participant	Timeline	TOI	Interval	Media	AOI	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	glasnudeln	1	glasnudel	preparation_time		442	221	218	223	2	0	218	preparation_text	preparation_text	2,80006	223	223	223	223	1	17125	223	2,86808	442	221	218	223	2	0	218	472	236	218	253	2	0	218	0			0			0	17095	218	217,77													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	glasnudeln	1	glasnudel	rating		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	gratine	1	gratin	calories		0				0			ingredients			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	gratine	1	gratin	duration		0				0			ingredients			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	gratine	1	gratin	easiness		0				0			ingredients			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	gratine	1	gratin	ingredients		10577	271	73	623	39	1369	193	ingredients		2,76791	10313	279	93	623	37	1369	193	2,76817	11970	3990	1613	7483	3	1369	2873	12080	4027	1647	7503	3	1312	2930	0			0			32		4242														
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	gratine	1	gratin	picture		2059	172	113	310	12	0	175	ingredients		2,85538	1883	171	113	310	11	535	113	2,84702	2355	589	130	1310	4	0	175	2519	630	163	1367	4	0	175	0			0			7	462	175	369,09													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	gratine	1	gratin	preparation_text		13050	242	67	487	54	10262	150	ingredients		2,83815	13050	242	67	487	54	10262	150	2,83815	15687	15687	15687	15687	1	10262	15687	15743	15743	15743	15743	1	10205	15743	0			0			43	10205		394,09													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	gratine	1	gratin	preparation_time		737	368	287	450	2	6855	287	ingredients		2,90018	737	368	287	450	2	6855	287	2,90018	737	368	287	450	2	6855	287	787	393	313	473	2	6829	313	0			0			0	6829	7142	134,32													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	gratine	1	gratin	rating		0				0			ingredients			0				0				0				0			0				0			0			0			0																
